Pertanyaan|Jawaban
[cite_start]Apa kepanjangan dari SLIK?|SLIK adalah Sistem Layanan Informasi Keuangan yang dikelola oleh Otoritas Jasa Keuangan. [cite: 17]
[cite_start]Untuk apa SLIK dimanfaatkan?|SLIK dapat dimanfaatkan untuk mendukung Lembaga Jasa Keuangan (LJK) dalam proses analisis penyediaan dana,  penerapan manajemen risiko kredit atau pembiayaan dan/atau risiko asuransi atau penjaminan, serta kegiatan lainnya untuk mendukung pelaksanaan kegiatan usaha pada LJK. [cite: 18]
[cite_start]Apa yang harus disampaikan Pelapor untuk menyelenggarakan kegiatan pelaporan dan permintaan Informasi Debitur melalui SLIK?|Pelapor harus menyampaikan Laporan Debitur kepada Otoritas Jasa Keuangan secara lengkap, akurat, terkini, utuh, dan tepat waktu setiap bulan untuk posisi data akhir bulan,  dan koreksi Laporan Debitur kepada Otoritas Jasa Keuangan jika Laporan Debitur yang telah disampaikan tidak memenuhi ketentuan. [cite: 19, 20, 21, 22, 24]
[cite_start]Siapa saja pihak yang wajib menjadi Pelapor?|Pihak yang wajib menjadi Pelapor meliputi Bank Umum (Konvensional dan Syariah), Bank Perekonomian Rakyat (BPR),  Bank Perekonomian Rakyat Syariah (BPRS),  Lembaga Pembiayaan yang memberikan Fasilitas Penyediaan Dana (Konvensional dan Syariah), Perusahaan Efek yang menjalankan kegiatan usaha sebagai perantara pedagang efek, Lembaga Pendanaan Efek, Perusahaan Asuransi yang memasarkan produk asuransi kredit dan/atau suretyship, Perusahaan Asuransi Syariah yang memasarkan produk asuransi pembiayaan syariah dan/atau suretyship syariah, Perusahaan Penjaminan, Perusahaan Penjaminan Syariah,  Penyelenggara Layanan Pendanaan Bersama Berbasis Teknologi Informasi (LPBBTI) (Konvensional dan Syariah), LJK lainnya yang memberikan Fasilitas Penyediaan Dana (lembaga pembiayaan ekspor Indonesia, pergadaian,  perusahaan, pembiayaan sekunder perumahan, dan perusahaan pembiayaan untuk pengembangan infrastruktur, koperasi, usaha kecil dan menengah), LJK yang diwajibkan menjadi Pelapor sesuai dengan Peraturan Otoritas Jasa Keuangan, dan Unit usaha syariah dari beberapa jenis LJK konvensional. [cite: 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74]
[cite_start]Kapan Pergadaian yang melaksanakan kegiatan usaha penyaluran pinjaman dengan jaminan berdasarkan fidusia, yang belum menjadi Pelapor, ditetapkan sebagai Pelapor?|Pergadaian yang melaksanakan kegiatan usaha penyaluran pinjaman dengan jaminan berdasarkan fidusia, yang belum menjadi Pelapor, ditetapkan sebagai Pelapor paling lambat tanggal 31 Desember 2025. [cite: 93]
[cite_start]Apa saja cakupan informasi dalam Laporan Debitur?|Laporan Debitur mencakup informasi mengenai Debitur, Fasilitas Penyediaan Dana (kredit atau pembiayaan, surat berharga, transaksi rekening administratif, dan fasilitas lainnya yang dapat dipersamakan), agunan, penjamin, pengurus dan pemilik, dan keuangan Debitur. [cite: 162, 163, 164, 165, 166, 167, 168, 169, 170, 171, 172, 173, 174, 175, 176, 177, 178, 181, 182, 183, 184, 185, 186, 187, 188, 189, 190]
[cite_start]Bagaimana cara penyampaian Laporan Debitur secara daring?|Pelapor hanya dapat menyampaikan Laporan Debitur dan/atau koreksi Laporan Debitur oleh kantor pusat Pelapor secara daring kepada Otoritas Jasa Keuangan. [cite: 213, 214, 215]
[cite_start]Apa yang dimaksud dengan SLIK?|SLIK adalah sistem informasi yang dikelola oleh Otoritas Jasa Keuangan untuk mendukung pelaksanaan tugas pengawasan dan layanan informasi di bidang keuangan. [cite: 17, 518]
[cite_start]Apa saja aplikasi yang terdapat dalam SLIK?|SLIK terdiri dari 4 (empat) aplikasi, yaitu SLIK Reporting, SLIK Web, host to host SLIK, dan iDeb Viewer. [cite: 522]
[cite_start]Apa fungsi aplikasi SLIK Reporting?|Aplikasi SLIK Reporting berfungsi untuk validasi data, enkripsi, kompresi, dan pembentukan file laporan yang siap dikirim ke peladen (server) Otoritas Jasa Keuangan, serta pengiriman Laporan Debitur langsung ke peladen Otoritas Jasa Keuangan melalui File Transfer Protocol (FTP). [cite: 524, 525]
[cite_start]Apa fungsi aplikasi SLIK Web?|Aplikasi SLIK Web memiliki fungsi antara lain untuk mengunggah (upload) file Laporan Debitur sebagai alternatif pengiriman laporan, pemantauan laporan, permintaan Informasi Debitur, pemantauan permintaan Informasi Debitur, koreksi data secara daring, pengelolaan pengguna, dan pemantauan aktivitas pengguna. [cite: 529]
[cite_start]Apa fungsi Host to host SLIK?|Host to host SLIK adalah aplikasi yang disediakan oleh Otoritas Jasa Keuangan untuk mengakomodir permintaan informasi debitur melalui mekanisme keterhubungan antara aplikasi Pelapor dengan aplikasi Otoritas Jasa Keuangan secara interaktif menggunakan jaringan ekstranet. [cite: 538]
[cite_start]Apa fungsi aplikasi iDeb Viewer?|Aplikasi iDeb Viewer adalah aplikasi yang dipasang pada perangkat komputer pengguna untuk menampilkan hasil permintaan Informasi Debitur yang dilakukan oleh pengguna menggunakan aplikasi SLIK Web. [cite: 539]
[cite_start]Berapa maksimal jumlah administrator SLIK Web?|Jumlah maksimal Administrator SLIK Web adalah 2 user. [cite: 633]
[cite_start]Berapa maksimal jumlah petugas pelaporan?|Jumlah maksimal Petugas Pelaporan adalah 4 user. [cite: 633]
[cite_start]Untuk Pelapor dengan aset <Rp500M, berapa maksimal petugas permintaan informasi?|Untuk Pelapor dengan aset <Rp500M, jumlah maksimal petugas permintaan informasi adalah 2 user x jumlah kantor. [cite: 633]
[cite_start]Bagaimana Pelapor memperoleh user ID dan password Administrator SLIK Web?|Untuk memperoleh user ID dan password Administrator SLIK Web, Pelapor menyampaikan permintaan secara tertulis yang memuat data pegawai pelaksana dan/atau pejabat yang ditunjuk menjadi Administrator SLIK Web di Pelapor. [cite: 640, 641]
[cite_start]Apa tujuan pelaporan Laporan Debitur?|Laporan Debitur dapat digunakan dalam rangka mendukung kelancaran proses pemberian Fasilitas Penyediaan Dana, menerapkan manajemen risiko kredit atau pembiayaan dan/atau risiko asuransi atau penjaminan, mengidentifikasi kualitas Debitur dalam rangka pemenuhan ketentuan Otoritas Jasa Keuangan atau pihak lain yang berwenang, pengelolaan sumber daya manusia pada Pelapor, dan/atau verifikasi untuk kerja sama Pelapor dengan pihak ketiga. [cite: 655, 656, 657, 658, 659, 660, 661, 662, 663, 664]
[cite_start]Sampai kapan Pelapor menyampaikan Laporan Debitur sesuai dengan pedoman penyusunan Laporan Debitur dalam Lampiran I Surat Edaran Otoritas Jasa Keuangan Nomor 3/SEOJK.03/2021?|Pelapor menyampaikan Laporan Debitur sesuai dengan pedoman penyusunan Laporan Debitur dalam Lampiran I Surat Edaran Otoritas Jasa Keuangan Nomor 3/SEOJK.03/2021 sampai dengan posisi data bulan September 2024. [cite: 483, 484]
